customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,AverageMonthlySpend
7590-VHVEG,0,0,1,0,1,0,1,-1.160322916034919,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.99
5575-GNVDE,1,0,0,0,34,1,0,-0.2596289419448806,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,-0.01
3668-QPYBK,1,0,0,0,2,1,1,-0.3626603559551803,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.48
7795-CFOCW,1,0,0,0,45,0,0,-0.7465354629935549,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,-0.0
9237-HQITU,0,0,0,0,2,1,1,0.1973652331008033,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.47
9305-CDSKC,0,0,0,0,8,1,1,1.159545696196989,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,-0.08
1452-KIOVK,1,0,0,1,22,1,1,0.8089065291619363,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,-0.01
6713-OKOMC,0,0,0,0,10,0,0,-1.163646510035252,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.09
7892-POOKP,0,0,1,0,28,1,1,1.330710787214099,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0.01
6388-TABGU,1,0,0,1,62,1,0,-0.2862176939475388,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.01
9763-GRSKD,1,0,1,1,13,1,1,-0.4922805219681379,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.06
7469-LKBCI,1,0,0,0,16,1,0,-1.522594662071134,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-0.05
8091-TTVAX,1,0,1,0,58,1,0,1.182810854199314,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,0.03
0280-XJGEX,1,0,0,0,49,1,1,1.294151253210444,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,0.02
5129-JLPIS,1,0,0,0,25,1,1,1.353975945216425,0,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0.01
3655-SNQYZ,0,0,1,1,69,1,0,1.611554480242174,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.04
8191-XWSZG,0,0,0,0,52,1,0,-1.466093564065486,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,-0.01
9959-WOFKT,1,0,0,1,71,1,0,1.393859073220412,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,0.03
4190-MFLUW,0,0,1,1,10,1,0,-0.317791836950695,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,-0.08
4183-MYFRB,0,0,0,0,21,1,1,0.8404806721650927,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,-0.01
8779-QRDMV,1,1,0,0,1,0,1,-0.8346107040023594,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,-0.99
1680-VDCWW,1,0,1,0,12,1,0,-1.49434411306831,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,-0.08
1066-JKSGK,1,0,0,0,1,1,0,-1.482711534067148,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-1.0
3638-WEABW,0,0,1,0,58,1,1,-0.1615829189350795,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,0.01
6322-HRPFA,1,0,1,1,49,1,0,-0.1715537009360761,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.01
6865-JZNKO,0,0,0,0,30,1,1,-0.3144682429503629,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.01
6467-CHFZW,1,0,1,1,47,1,1,1.149574914195991,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.02
8665-UTDHZ,1,0,1,1,1,0,0,-1.148690337033756,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.99
5248-YGIJN,1,0,1,0,72,1,1,0.8471278601657574,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.03
8773-HHUOZ,0,0,0,1,17,1,1,-0.0020504069191315,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,-0.03
3841-NFECX,0,1,1,0,71,1,1,1.049867094186024,0,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,0.03
4929-XIHVW,1,1,1,0,2,1,1,1.0216165451832,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,-0.46
6827-IEAUQ,0,0,1,1,27,1,0,0.0461417060856861,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,-0.01
7310-EGVHZ,1,0,0,0,1,1,0,-1.481049737066981,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,-1.0
3413-BMNZE,1,1,0,0,1,1,0,-0.6484894399837535,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.99
6234-RAAPL,0,0,1,1,72,1,0,1.167854681197819,0,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0.03
6047-YHPVI,1,0,0,0,5,1,1,0.1641292930974808,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.17
6572-ADKRS,0,0,0,0,46,1,1,0.3336325871144252,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.01
5380-WJKOV,1,0,0,0,34,1,1,1.382226494219249,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.02
8168-UQWWF,0,0,0,0,11,1,1,1.099721004191008,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,-0.05
8865-TNMNX,1,0,1,1,10,1,0,-0.5055748979694671,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,-0.08
9489-DEDVP,0,0,1,1,70,1,1,0.1475113230958195,0,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,0.02
9867-JCZSP,0,0,1,1,17,1,0,-1.462769970065154,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,-0.05
4671-VJLCL,0,0,0,0,63,1,1,0.5014740841312035,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0.02
4080-IIARD,0,0,1,0,13,1,1,0.3801629031190768,0,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,-0.04
3714-NTNFO,0,0,0,0,49,1,1,0.6560212051466532,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.01
5948-UJZLF,1,0,0,0,2,1,0,-0.5155456799704636,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.48
7760-OYPDY,0,0,0,0,2,1,1,0.5280628361338618,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-0.47
7639-LIAYI,1,0,0,0,52,1,1,0.4981504901308714,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,0.02
2954-PIBKO,0,0,1,1,69,1,1,-0.0203301739209588,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,0.01
8012-SOUDQ,0,1,0,0,43,1,1,0.8471278601657574,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.02
9420-LOJKX,0,0,0,0,15,1,1,1.141265929195161,1,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,-0.03
6575-SUVOI,0,1,1,0,25,1,1,0.1574821050968162,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,-0.01
